commit;CATEGORY;HAS_RULES;RULE_CLASSES;RULE_FILES;CORRECTNESS_RULES;CORRECTNESS_FAILURE_CATEGORY;RULE_COMPILE_SUCCESS;;;;
00a7cc31784ac4a9cc27d506a73ae589d6df36d6;COMPILATION_FAILURE;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
067f5d2c81ff87c90755f4ed48f62eb5faa8ecf9;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
07fad972bb884e9fa6143b4f870d08305811607d;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
0abf7148300f40a1da0538ab060552bca4a2f1d8;COMPILATION_FAILURE;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;COMPILATION_FAILURE;TRUE;DONE;;;Agent change wrong method
13fd75e233a5cb2771a6cb186c0decaed6d6545a;BUILD_SUCCESS;TRUE;HamcrestFix;javaparser-base-template/src/main/java/github/chains/HamcrestFix.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
165381d26b2c3d2278fde88c16f95807506451fe;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
17f2bcaaba4805b218743f575919360c5aec5da4;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
1820a966ae02ad8df44d0a0106cba65ceaf3aa95;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
1c0972fc3d905b9f2a305a78f8a158a0b3fd8639;COMPILATION_FAILURE;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;"The agent strictly applied the automated rule (downgrade of logback-classic from 1.4.4 to 1.2.11 in pay-adminusers/pom.xml) and performed only supporting read/build verification commands; no additional file modifications beyond the single recorded replacement are present in the log"
1cc7071371953a7880c2c2c3a5a32c36af7f88f9;BUILD_SUCCESS;TRUE;FixByteBuddyImports;javaparser-base-template/src/main/java/github/chains/FixByteBuddyImports.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
1ef97ea6c5b6e34151fe6167001b69e003449f95;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
249c3b394540fde4fcb72f66172af5e02b9c637e;DEPENDENCY_RESOLUTION_FAILURE;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
24d4a90ec1b375751e71f33d18949405c9529d77;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
3572a1ecc0154c61e05505aed56055b9c5e539a6;COMPILATION_FAILURE;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;COMPILATION_FAILURE;TRUE;DONE;;;"The agent wrote a Java transformer (Main.java) to implement the stated replacement rule and then ran Maven build/execute commands; all logged actions correspond to applying the intended automated rule."
38c9915f0cfdf0c1a2b17c3c6f283c23a0aac0cf;COMPILATION_FAILURE;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;COMPILATION_FAILURE;TRUE;DONE;;;
40feecdd9c649644668d7c84bb87b73a2b2723ca;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
43b3a858b77ec27fc8946aba292001c3de465012;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
43c824a24b09efd8b4b00449ce31cd121a6b23eb;MODEL_FAILURE;FALSE;;;FALSE;NO_RULES;;DONE;;;
4a3efad6e00824e5814b9c8f571c9c98aad40281;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;COMPILATION_FAILURE;TRUE;DONE;;;
4aab2869639226035c999c282f31efba15648ea3;BUILD_SUCCESS;TRUE;FixYamlPolicyFactory;javaparser-base-template/src/main/java/github/chains/FixYamlPolicyFactory.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
54abbbde6a1233e1523a9b5f811ea100efb5dead;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
5769bdad76925da568294cb8a40e7d4469699ac3;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
5fcd0c3ad7727850c47602b17530dc355e5bd097;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
61e96bfe3a32d6ef2e5d7912a518c78bd5474e74;COMPILATION_FAILURE;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;"The agent performed multiple actions including creating a new Java transformer file and running Maven build/log commands in the ""singer"" module, so it did not act strictly within a single automated rule.";;
65200df71d5f6ab1c5502f74a5dc7bcbda459563;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
6ad104c4fb9263ad1bb29e6b33618b8225efd92d;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
6c53cd904bd66fc79af8687571e607c259226b81;AGENT_FAILURE;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
6c9a2ecf3bac1e0c7675e03b2828a71450d8ed45;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
741f3b5e20a91b0e9305ae79261e3c5e64971c98;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
7d97e1c7331f6722eb1d8192bf0a2686f5a33798;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
7f7de81d28b68b091bef2e6f6ffd1836167be6ea;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
832e0f184efdad0fcf15d14cb7af5e30239ff454;COMPILATION_FAILURE;FALSE;;;FALSE;NO_RULES;FALSE;DONE;"The agent implemented the intended transformations (remove import com.jcabi.aspects.Tv; replace Tv.TEN and Tv.EIGHT with literals) but also created/modified an auxiliary transformation program and executed build and git commands, so it did not strictly perform only the rule application";;
867e69e208ff59d1f8baae7ed41d3e163a51bc65;COMPILATION_FAILURE;FALSE;;;FALSE;NO_RULES;FALSE;DONE;The agent only executed file-search and build commands (no file writes, deletions, or code modifications are present in the log), so it strictly performed diagnostic/build steps and did not perform additional changes;;
874ed893a4e46ea5182be2be054715967e58f08f;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;;;;;
90ffd2cd31edecf778d14d0015da9ceab7e53081;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
9461431622cf39efe60cf1eb03a94083780c5720;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
9717e34bcda74bd9ad94f6a52ddfd3fd179ea15b;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;VERIFICAR?????????;;;
979d6237a50840cd925cc1a33c415ffbbbc42846;AGENT_FAILURE;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
9836e07e553e29f16ee35b5d7e4d0370e1789ecd;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
9a8b6fc7847a0782ae4c48d0e4f7056507c0397d;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
a26797cdeeecaa3b900ea1e0d5ec0cec66bf03ff;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
a4c360001134c2e3a9f7fbde88a07a9fd767e78e;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
a80dac86d1caa3958c45c036d93a7d9231d88fbf;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
a9df7b2235224fcabefa1d62e8956911aa5bb825;DEPENDENCY_RESOLUTION_FAILURE;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
ab85440ce7321d895c7a9621224ce8059162a26a;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
acc50dabec6796c091b84c1ada2ae4cbcab8b562;AGENT_FAILURE;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
ae0a0bd1311451e4a5a185a8d96405cfe3e049c5;BUILD_SUCCESS;TRUE;FixHamcrestConstructors;javaparser-base-template/src/main/java/github/chains/FixHamcrestConstructors.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
b554e03428f2ba877c33a0fece7f0f00fb38a5fa;COMPILATION_FAILURE;FALSE;;;FALSE;NO_RULES;FALSE;DONE;"The agent performed only discovery and logging actions (no tool calls, no file writes/deletions/refactors); it did not perform any additional modifications beyond the (non-destructive) discovery/logging steps";;
b5b64613a1a650a5784ff39386b4e00e05e5c21c;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;he agent applied the intended automated fixes (replacing isAllBlank usages and editing P4Manager.java) but did not limit itself strictly to those rule edits — it created and executed a helper Java file in javaparser-base-template, performed multiple build commands, attempted several replace edits (including one failing edit), and removed log and helper files, so additional side-effect actions were performed beyond just the rule application;;
bd3ce213e2771c6ef7817c80818807a757d4e94a;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;The agent modify the pom.xml ;;
c09896887acf0fe59320e01145a7034cd8d4e326;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
c0f6ab75784dbc13ae8ff47298704c0756cf3a2c;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
c311ee0a84b72b15ba64da3514181c2347912225;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
c7c9590a206d4fb77dd05b9df391d888e6181667;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
cbcafe129e143ef09401470e9d11de9758f298d0;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;Agent modify the pom.xml direct;;
d38182a8a0fe1ec039aed97e103864fce717a0be;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
d401e189fb6435110e3dc4ca1a94838f167e7ddf;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
d54b56b91c11f21b97d4903143b04b7c1f10c255;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
db02c6bcb989a5b0f08861c3344b532769530467;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
dbdc7d2c4a28a8d65edcd0cdece91c0bc357b869;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
dcc95f410847ab308db2f2a31ab13e32dc65c670;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;The agent modify the pom.xml ;;
f5bc873a4b68e87761a65064ebea9ad8c3fb085f;COMPILATION_FAILURE;FALSE;;;FALSE;NO_RULES;FALSE;DONE;"The agent did not perform any rule-driven file modifications; instead it ran read-only discovery, logging, and an attempted parse/run of Main.java — it did not strictly apply any automated rule (no file changes were made";;
f6659d758a437f8b676481fe70671a68a6ee1cde;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;